C:\Users\sina\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 134, took 58 cycles
Sample 135, took 54 cycles
Sample 136, took 59 cycles
Sample 137, took 57 cycles
Sample 138, took 59 cycles
Sample 139, took 58 cycles
Sample 140, took 59 cycles
Sample 141, took 57 cycles
Sample 142, took 59 cycles
Sample 143, took 59 cycles
Sample 144, took 59 cycles
Sample 145, took 57 cycles
Sample 146, took 59 cycles
Sample 147, took 59 cycles
Sample 148, took 59 cycles
Sample 149, took 55 cycles
Sample 150, took 57 cycles
Sample 151, took 57 cycles
Sample 152, took 59 cycles
Sample 153, took 57 cycles
Sample 154, took 59 cycles
Sample 155, took 58 cycles
Sample 156, took 57 cycles
Sample 157, took 59 cycles
Sample 158, took 58 cycles
Sample 159, took 57 cycles
Sample 160, took 57 cycles
Sample 161, took 57 cycles
Sample 162, took 53 cycles
Sample 163, took 52 cycles
Sample 164, took 53 cycles
Sample 165, took 47 cycles
Sample 166, took 54 cycles
Sample 167, took 50 cycles
Sample 168, took 49 cycles
Sample 169, took 51 cycles
Sample 170, took 51 cycles
Sample 171, took 55 cycles
Sample 172, took 51 cycles
Sample 173, took 47 cycles
Sample 174, took 52 cycles
Sample 175, took 50 cycles
Sample 176, took 54 cycles
Sample 177, took 53 cycles
Sample 178, took 53 cycles
Sample 179, took 53 cycles
Sample 180, took 54 cycles
Sample 181, took 51 cycles
Sample 182, took 49 cycles
Sample 183, took 47 cycles
Sample 184, took 49 cycles
Sample 185, took 53 cycles
Sample 186, took 51 cycles
Sample 187, took 52 cycles
Sample 188, took 55 cycles
Sample 189, took 55 cycles
Sample 190, took 53 cycles
Sample 191, took 51 cycles
Sample 192, took 52 cycles
Sample 193, took 53 cycles
Sample 194, took 53 cycles
Sample 195, took 51 cycles
Sample 196, took 53 cycles
Sample 197, took 53 cycles
Sample 198, took 53 cycles
Sample 199, took 53 cycles
Sample 200, took 53 cycles
Sample 201, took 52 cycles
Sample 202, took 51 cycles
Sample 203, took 53 cycles
Sample 204, took 53 cycles
Sample 205, took 53 cycles
Sample 206, took 49 cycles
Sample 207, took 50 cycles
Sample 208, took 53 cycles
Sample 209, took 50 cycles
Sample 210, took 53 cycles
Sample 211, took 51 cycles
Sample 212, took 52 cycles
Sample 213, took 53 cycles
Sample 214, took 51 cycles
Sample 215, took 50 cycles
Sample 216, took 53 cycles
Sample 217, took 53 cycles
Sample 218, took 51 cycles
Sample 219, took 48 cycles
Sample 220, took 51 cycles
Sample 221, took 51 cycles
Sample 222, took 52 cycles
Sample 223, took 50 cycles
Sample 224, took 53 cycles
Sample 225, took 49 cycles
Sample 226, took 52 cycles
Sample 227, took 53 cycles
Sample 228, took 51 cycles
Sample 229, took 51 cycles
Sample 230, took 51 cycles
Sample 231, took 53 cycles
Sample 232, took 53 cycles
Sample 233, took 49 cycles
Sample 234, took 53 cycles
Sample 235, took 51 cycles
Sample 236, took 49 cycles
Sample 237, took 54 cycles
Sample 238, took 57 cycles
Sample 239, took 55 cycles
Sample 240, took 51 cycles
Sample 241, took 50 cycles
Sample 242, took 53 cycles
Sample 243, took 51 cycles
Sample 244, took 52 cycles
Sample 245, took 47 cycles
Sample 246, took 51 cycles
Sample 247, took 51 cycles
Sample 248, took 51 cycles
Sample 249, took 49 cycles
Sample 250, took 52 cycles
Sample 251, took 51 cycles
Sample 252, took 53 cycles
Sample 253, took 53 cycles
Sample 254, took 53 cycles
Sample 255, took 50 cycles
Sample 256, took 53 cycles
Sample 257, took 51 cycles
Sample 258, took 52 cycles
Sample 259, took 52 cycles
Sample 260, took 55 cycles
Sample 261, took 51 cycles
Sample 262, took 51 cycles
Sample 263, took 51 cycles
Sample 264, took 51 cycles
Sample 265, took 52 cycles
Sample 266, took 52 cycles
Sample 267, took 50 cycles
Sample 268, took 53 cycles
Sample 269, took 54 cycles
Sample 270, took 49 cycles
Sample 271, took 49 cycles
Sample 272, took 55 cycles
Sample 273, took 53 cycles
Sample 274, took 52 cycles
Sample 275, took 54 cycles
Sample 276, took 51 cycles
Sample 277, took 51 cycles
Sample 278, took 49 cycles
Sample 279, took 53 cycles
Sample 280, took 51 cycles
Sample 281, took 49 cycles
Sample 282, took 53 cycles
Sample 283, took 50 cycles
Sample 284, took 49 cycles
Sample 285, took 51 cycles
Sample 286, took 51 cycles
Sample 287, took 48 cycles
Sample 288, took 51 cycles
Sample 289, took 45 cycles
Sample 290, took 43 cycles
Sample 291, took 49 cycles
Sample 292, took 51 cycles
Sample 293, took 49 cycles
Sample 294, took 49 cycles
Sample 295, took 51 cycles
Sample 296, took 47 cycles
Sample 297, took 44 cycles
Sample 298, took 47 cycles
Sample 299, took 47 cycles
Sample 300, took 49 cycles
Sample 301, took 49 cycles
Sample 302, took 47 cycles
Sample 303, took 51 cycles
Sample 304, took 50 cycles
Sample 305, took 49 cycles
Sample 306, took 47 cycles
Sample 307, took 47 cycles
Sample 308, took 53 cycles
Sample 309, took 44 cycles
Sample 310, took 51 cycles
Sample 311, took 47 cycles
Sample 312, took 47 cycles
Sample 313, took 45 cycles
Sample 314, took 49 cycles
Sample 315, took 47 cycles
Sample 316, took 49 cycles
Sample 317, took 51 cycles
Sample 318, took 46 cycles
Sample 319, took 52 cycles
Sample 320, took 51 cycles
Sample 321, took 47 cycles
