00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x35
00007ff67b0c5f89 mov edx, [rcx+rax*1+0x64] ; +0x64
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x68
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x69
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x6A
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x6B
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x6C
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x68
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x69
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x6A
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x6B
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0xCC
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0xCD
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0xCE
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0xCF
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0xD0
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0xCC
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0xCD
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0xCE
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0xCF
00007ff67b1794fd vmovdqu ymm0, [rax] ; +0x100
00007ff67b1795af movzx eax, byte ptr [rax] ; +0x100
00007ff67b1795af movzx eax, byte ptr [rax] ; +0x101
00007ff67b1795af movzx eax, byte ptr [rax] ; +0x102
00007ff67b1795af movzx eax, byte ptr [rax] ; +0x103
00007ff67b1795af movzx eax, byte ptr [rax] ; +0x104
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x100
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x101
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x102
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x103
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x132
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x133
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x134
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x135
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x136
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x132
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x133
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x134
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x135
00007ff67b0c5f89 mov edx, [rcx+rax*1+0x64] ; +0x164
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x168
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x169
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x16A
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x16B
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x16C
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x168
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x169
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x16A
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x16B
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x1CC
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x1CD
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x1CE
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x1CF
00007ff67b178bd7 movzx eax, byte ptr [rax] ; +0x1D0
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x1CC
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x1CD
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x1CE
00007ff67b13a557 movzx edx, byte ptr [rax] ; +0x1CF
00007ff67b1794fd vmovdqu ymm0, [rax] ; +0x200
