Microsoft Windows [Version 10.0.19045.4412]
(c) Microsoft Corporation. All rights reserved.

C:\Users\user\Desktop\AccessMeasurements\x64\Debug>AccessMeasurements.exe
Press enter to continue...
Sample 207, took 8920 cycles
Sample 208, took 8918 cycles
Sample 209, took 9064 cycles
Sample 210, took 8865 cycles
Sample 211, took 8953 cycles
Sample 212, took 9705 cycles
Sample 213, took 8846 cycles
Sample 214, took 10867 cycles
Sample 215, took 11839 cycles
Sample 216, took 11762 cycles
Sample 217, took 11966 cycles
Sample 218, took 10427 cycles
Sample 219, took 9087 cycles
Sample 220, took 19130 cycles
Sample 221, took 17394 cycles
Sample 222, took 12003 cycles
Sample 223, took 10750 cycles
Sample 224, took 10175 cycles
Sample 225, took 9979 cycles
Sample 226, took 12410 cycles
Sample 227, took 10241 cycles
Sample 228, took 69886 cycles
Sample 229, took 15408 cycles
Sample 230, took 54347 cycles
Sample 231, took 10268 cycles
Sample 232, took 8678 cycles
Sample 233, took 11157 cycles
Sample 234, took 10660 cycles
Sample 235, took 8728 cycles
Sample 236, took 8602 cycles
Sample 237, took 8531 cycles
Sample 238, took 9516 cycles
Sample 239, took 8965 cycles
Sample 240, took 8614 cycles
Sample 241, took 8654 cycles
Sample 242, took 8951 cycles
Sample 243, took 8787 cycles
Sample 244, took 8922 cycles
Sample 245, took 8717 cycles
Sample 246, took 8728 cycles
Sample 247, took 10845 cycles
Sample 248, took 9927 cycles
Sample 249, took 9033 cycles
Sample 250, took 8882 cycles
Sample 251, took 8802 cycles
Sample 252, took 8799 cycles
Sample 253, took 9007 cycles
Sample 254, took 22795 cycles
Sample 255, took 8560 cycles
Sample 256, took 8837 cycles
Sample 257, took 10996 cycles
Sample 258, took 58677 cycles
Sample 259, took 55402 cycles
Sample 260, took 10532 cycles
Sample 261, took 12057 cycles
Sample 262, took 10316 cycles
Sample 263, took 9926 cycles
Sample 264, took 9106 cycles
Sample 265, took 11329 cycles
Sample 266, took 13070 cycles
Sample 267, took 90334 cycles
Sample 268, took 10530 cycles
Sample 269, took 9558 cycles
Sample 270, took 11183 cycles
Sample 271, took 9041 cycles
Sample 272, took 8749 cycles
Sample 273, took 8987 cycles
Sample 274, took 8693 cycles
Sample 275, took 8590 cycles
Sample 276, took 8632 cycles
Sample 277, took 8690 cycles
Sample 278, took 8668 cycles
Sample 279, took 12214 cycles
Sample 280, took 8874 cycles
Sample 281, took 8837 cycles
Sample 282, took 8686 cycles
Sample 283, took 10885 cycles
Sample 284, took 8118 cycles
Sample 285, took 8260 cycles
Sample 286, took 9600 cycles
Sample 287, took 10905 cycles
Sample 288, took 9691 cycles
Sample 289, took 8995 cycles
Sample 290, took 8769 cycles
Sample 291, took 8668 cycles
Sample 292, took 8717 cycles
Sample 293, took 8686 cycles
Sample 294, took 47438 cycles
Sample 295, took 17237 cycles
Sample 296, took 21256 cycles
Sample 297, took 22278 cycles
Sample 298, took 11536 cycles
Sample 299, took 10012 cycles
Sample 300, took 9920 cycles
Sample 301, took 9981 cycles
Sample 302, took 58454 cycles
Sample 303, took 17084 cycles
